ID,Nombre,Estado,Cantidad
11, Aceite, S, 20
12, Huevos, C, 1
13, Agua, S, 20
14, Yerba Mate, C, 1
15, Agua, S, 25
16, Huevos, S, 20
1, Aceite, S, 20
2, Huevos, C, 1
3, Agua, S, 20
4, Yerba Mate, C, 1
5, Agua, S, 25
6, Huevos, S, 20
7, Aceite, S, 20
8, Manzanas, S, 20
9, Aceite, S, 15
10, Manzanas, S, 15
17, Aceite, S, 20
18, Manzanas, S, 20
19, Aceite, S, 15
20, Manzanas, S, 15
21, Agua, N, 0
22, Yerba Mate, C, 1
23, Aceite, C, 5
24, Manzanas, C, 2
31, Agua, N, 0
32, Yerba Mate, C, 1
33, Aceite, C, 5
34, Manzanas, C, 2
35, Huevos, C, 1
36, Manzanas, N, 0
37, Yerba Mate, S, 15
38, Aceite, C, 2
39, Agua, S, 15
40, Agua, S, 15
25, Huevos, C, 1
61, Aceite, S, 20
62, Huevos, C, 1
26, Manzanas, N, 0
27, Yerba Mate, S, 15
28, Aceite, C, 2
29, Agua, S, 15
30, Agua, S, 15
71, Manzanas, N, 0
72, Yerba Mate, S, 25
73, Agua, S, 20
74, Manzanas, C, 2
75, Yerba Mate, C, 2
76, Agua, S, 15
77, Aceite, C, 1
78, Agua, C, 2
79, Manzanas, S, 15
80, Yerba Mate, S, 20
81, Huevos, C, 5
63, Agua, S, 20
64, Yerba Mate, C, 1
65, Agua, S, 25
66, Huevos, S, 20
67, Aceite, S, 20
68, Manzanas, S, 20
69, Aceite, S, 15
41, Aceite, S, 20
42, Huevos, C, 1
43, Agua, S, 20
44, Yerba Mate, C, 1
45, Agua, S, 25
46, Huevos, S, 20
51, Manzanas, N, 0
70, Manzanas, S, 15
47, Aceite, S, 20
48, Manzanas, S, 20
49, Aceite, S, 15
50, Manzanas, S, 15
52, Yerba Mate, S, 25
53, Agua, S, 20
54, Manzanas, C, 2
55, Yerba Mate, C, 2
56, Agua, S, 15
57, Aceite, C, 1
58, Agua, C, 2
59, Manzanas, S, 15
60, Yerba Mate, S, 20
